actor,revenue,title
Tim Roth,4300000.0,Four Rooms
Antonio Banderas,4300000.0,Four Rooms
Jennifer Beals,4300000.0,Four Rooms
Madonna,4300000.0,Four Rooms
Marisa Tomei,4300000.0,Four Rooms
Bruce Willis,4300000.0,Four Rooms
Quentin Tarantino,4300000.0,Four Rooms
Sammi Davis,4300000.0,Four Rooms
Amanda de Cadenet,4300000.0,Four Rooms
Valeria Golino,4300000.0,Four Rooms
Lili Taylor,4300000.0,Four Rooms
Lawrence Bender,4300000.0,Four Rooms
Ione Skye,4300000.0,Four Rooms
Alicia Witt,4300000.0,Four Rooms
David Proval,4300000.0,Four Rooms
Lana McKissack,4300000.0,Four Rooms
Tamlyn Tomita,4300000.0,Four Rooms
Kathy Griffin,4300000.0,Four Rooms
Paul Calderon,4300000.0,Four Rooms
Salma Hayek,4300000.0,Four Rooms
Patricia Vonne,4300000.0,Four Rooms
Danny Verduzco,4300000.0,Four Rooms
Kimberly Blair,4300000.0,Four Rooms
Marc Lawrence,4300000.0,Four Rooms
Irene Bedard,346079773.0,Pocahontas
Mel Gibson,346079773.0,Pocahontas
David Ogden Stiers,346079773.0,Pocahontas
John Kassir,346079773.0,Pocahontas
Russell Means,346079773.0,Pocahontas
Christian Bale,346079773.0,Pocahontas
Judy Kuhn,346079773.0,Pocahontas
Linda Hunt,346079773.0,Pocahontas
Danny Mann,346079773.0,Pocahontas
Billy Connolly,346079773.0,Pocahontas
Joe Baker,346079773.0,Pocahontas
Frank Welker,346079773.0,Pocahontas
Michelle St. John,346079773.0,Pocahontas
James Apaumut Fall,346079773.0,Pocahontas
Gordon Tootoosis,346079773.0,Pocahontas
Jim Cummings,346079773.0,Pocahontas
Harvey Keitel,1275000.0,Blue in the Face
Lou Reed,1275000.0,Blue in the Face
Michael J. Fox,1275000.0,Blue in the Face
Roseanne Barr,1275000.0,Blue in the Face
Lily Tomlin,1275000.0,Blue in the Face
Giancarlo Esposito,1275000.0,Blue in the Face
José Zúñiga,1275000.0,Blue in the Face
Madonna,1275000.0,Blue in the Face
Mira Sorvino,1275000.0,Blue in the Face
Keith David,1275000.0,Blue in the Face
Victor Argo,1275000.0,Blue in the Face
Jim Jarmusch,1275000.0,Blue in the Face
Jared Harris,1275000.0,Blue in the Face
Mel Gorham,1275000.0,Blue in the Face
Malik Yoba,1275000.0,Blue in the Face
John Lurie,1275000.0,Blue in the Face
Stephen Gevedon,1275000.0,Blue in the Face
Sharif Rashed,1275000.0,Blue in the Face
Peggy Gormley,1275000.0,Blue in the Face
RuPaul,1275000.0,Blue in the Face
Harvey Keitel,8349430.0,Smoke
William Hurt,8349430.0,Smoke
Giancarlo Esposito,8349430.0,Smoke
José Zúñiga,8349430.0,Smoke
Stephen Gevedon,8349430.0,Smoke
Jared Harris,8349430.0,Smoke
Harold Perrineau,8349430.0,Smoke
Forest Whitaker,8349430.0,Smoke
Stockard Channing,8349430.0,Smoke
Ashley Judd,8349430.0,Smoke
Victor Argo,8349430.0,Smoke
Michelle Hurst,8349430.0,Smoke
Erica Gimpel,8349430.0,Smoke
Malik Yoba,8349430.0,Smoke
Jim Carrey,247275374.0,Dumb and Dumber
Jeff Daniels,247275374.0,Dumb and Dumber
Lauren Holly,247275374.0,Dumb and Dumber
Teri Garr,247275374.0,Dumb and Dumber
Mike Starr,247275374.0,Dumb and Dumber
Karen Duffy,247275374.0,Dumb and Dumber
Charles Rocket,247275374.0,Dumb and Dumber
Victoria Rowell,247275374.0,Dumb and Dumber
Brady Bluhm,247275374.0,Dumb and Dumber
Cam Neely,247275374.0,Dumb and Dumber
Rob Moran,247275374.0,Dumb and Dumber
Joe Baker,247275374.0,Dumb and Dumber
Hank Brandt,247275374.0,Dumb and Dumber
Felton Perry,247275374.0,Dumb and Dumber
Brad Lockerman,247275374.0,Dumb and Dumber
Kathryn Frick,247275374.0,Dumb and Dumber
Zen Gesner,247275374.0,Dumb and Dumber
Lawrence Kopp,247275374.0,Dumb and Dumber
Clint Allen,247275374.0,Dumb and Dumber
Connie Sawyer,247275374.0,Dumb and Dumber
Lin Shaye,247275374.0,Dumb and Dumber
Mike Watkis,247275374.0,Dumb and Dumber
