director,revenue,title
Allison Anders,4300000.0,Four Rooms
Alexandre Rockwell,4300000.0,Four Rooms
Robert Rodriguez,4300000.0,Four Rooms
Quentin Tarantino,4300000.0,Four Rooms
Mike Gabriel,346079773.0,Pocahontas
Eric Goldberg,346079773.0,Pocahontas
Paul Auster,1275000.0,Blue in the Face
Wayne Wang,1275000.0,Blue in the Face
Wayne Wang,8349430.0,Smoke
Paul Auster,8349430.0,Smoke
Peter Farrelly,247275374.0,Dumb and Dumber
Bobby Farrelly,247275374.0,Dumb and Dumber
Roger Allers,788241776.0,The Lion King
Rob Minkoff,788241776.0,The Lion King
Albert Hughes,27900000.0,Menace II Society
Allen Hughes,27900000.0,Menace II Society
Annabel Jankel,20915465.0,Super Mario Bros.
Rocky Morton,20915465.0,Super Mario Bros.
Joe Johnston,13670688.0,The Pagemaster
Pixote Hunt,13670688.0,The Pagemaster
Maurice Hunt,13670688.0,The Pagemaster
Ron Clements,504050219.0,Aladdin
John Musker,504050219.0,Aladdin
Gary Trousdale,377350553.0,Beauty and the Beast
Kirk Wise,377350553.0,Beauty and the Beast
Hamilton Luske,84300000.0,Pinocchio
Ben Sharpsteen,84300000.0,Pinocchio
Kevin Yagher,16675000.0,Hellraiser: Bloodline
Joe Chappelle,16675000.0,Hellraiser: Bloodline
Gary Trousdale,100138851.0,The Hunchback of Notre Dame
Kirk Wise,100138851.0,The Hunchback of Notre Dame
Bobby Farrelly,25023434.0,Kingpin
Peter Farrelly,25023434.0,Kingpin
Lana Wachowski,7011317.0,Bound
Lilly Wachowski,7011317.0,Bound
John Frankenheimer,49627779.0,The Island of Dr. Moreau
Richard Stanley,49627779.0,The Island of Dr. Moreau
Stanley Donen,7200000.0,Singin' in the Rain
Gene Kelly,7200000.0,Singin' in the Rain
Michael Curtiz,3981000.0,The Adventures of Robin Hood
William Keighley,3981000.0,The Adventures of Robin Hood
Clyde Geronimi,263591415.0,Cinderella
Wilfred Jackson,263591415.0,Cinderella
