cast,director,id,budget,genres,imdb_id,original_language,popularity,poster_path,production_companies,release_date,revenue,status,title,imdb_rating
Tom Hanks,John Lasseter,862,30000000.0,Animation,0114709,en,21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,1995-10-30,373554033.0,Released,Toy Story,7.7
Robin Williams,Joe Johnston,8844,65000000.0,Adventure,0113497,en,17.015539,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,TriStar Pictures,1995-12-15,262797249.0,Released,Jumanji,6.9
Whitney Houston,Forest Whitaker,31357,16000000.0,Comedy,0114885,en,3.859495,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Twentieth Century Fox Film Corporation,1995-12-22,81452156.0,Released,Waiting to Exhale,6.1
Al Pacino,Michael Mann,949,60000000.0,Action,0113277,en,17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Regency Enterprises,1995-12-15,187436818.0,Released,Heat,7.7
Jean-Claude Van Damme,Peter Hyams,9091,35000000.0,Action,0114576,en,5.23158,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Universal Pictures,1995-12-22,64350171.0,Released,Sudden Death,5.5
Pierce Brosnan,Martin Campbell,710,58000000.0,Adventure,0113189,en,14.686035999999998,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,United Artists,1995-11-16,352194034.0,Released,GoldenEye,6.6
Michael Douglas,Rob Reiner,9087,62000000.0,Comedy,0112346,en,6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,Columbia Pictures,1995-11-17,107879496.0,Released,The American President,6.5
Anthony Hopkins,Oliver Stone,10858,44000000.0,History,0113987,en,5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Hollywood Pictures,1995-12-22,13681765.0,Released,Nixon,7.1
Geena Davis,Renny Harlin,1408,98000000.0,Action,0112760,en,7.284477000000001,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+,1995-12-22,10017322.0,Released,Cutthroat Island,5.7
Robert De Niro,Martin Scorsese,524,52000000.0,Drama,0112641,en,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures,1995-11-22,116112375.0,Released,Casino,7.8
Kate Winslet,Ang Lee,4584,16500000.0,Drama,0114388,en,10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Columbia Pictures Corporation,1995-12-13,135000000.0,Released,Sense and Sensibility,7.2
Tim Roth,Allison Anders,5,4000000.0,Crime,0113101,en,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films,1995-12-09,4300000.0,Released,Four Rooms,6.5
Jim Carrey,Steve Oedekerk,9273,30000000.0,Crime,0112281,en,8.205447999999999,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,O Entertainment,1995-11-10,212385533.0,Released,Ace Ventura: When Nature Calls,6.1
Wesley Snipes,Joseph Ruben,11517,60000000.0,Action,0113845,en,7.337905999999999,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Columbia Pictures,1995-11-21,35431113.0,Released,Money Train,5.4
John Travolta,Barry Sonnenfeld,8012,30250000.0,Comedy,0113161,en,12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Jersey Films,1995-10-20,115101622.0,Released,Get Shorty,6.4
Sylvester Stallone,Richard Donner,9691,50000000.0,Action,0112401,en,11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Silver Pictures,1995-10-06,30303072.0,Released,Assassins,6.0
Nicolas Cage,Mike Figgis,451,3600000.0,Drama,0113627,en,10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,United Artists,1995-10-27,49800000.0,Released,Leaving Las Vegas,7.1
Christina Ricci,Lesli Linka Glatter,9263,12000000.0,Comedy,0114011,en,8.681325,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,New Line Cinema,1995-10-20,27400000.0,Released,Now and Then,6.6
Bruce Willis,Terry Gilliam,63,29500000.0,Science Fiction,0114746,en,12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Universal Pictures,1995-12-29,168840000.0,Released,Twelve Monkeys,7.4
Christine Cavanaugh,Chris Noonan,9598,30000000.0,Fantasy,0112431,en,14.404764000000002,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Universal Pictures,1995-07-18,254134910.0,Released,Babe,6.0
