genre,revenue,title
Crime,4300000.0,Four Rooms
Comedy,4300000.0,Four Rooms
Adventure,346079773.0,Pocahontas
Animation,346079773.0,Pocahontas
Drama,346079773.0,Pocahontas
Family,346079773.0,Pocahontas
Comedy,1275000.0,Blue in the Face
Comedy,8349430.0,Smoke
Drama,8349430.0,Smoke
Comedy,247275374.0,Dumb and Dumber
Family,788241776.0,The Lion King
Animation,788241776.0,The Lion King
Drama,788241776.0,The Lion King
Drama,27900000.0,Menace II Society
Action,27900000.0,Menace II Society
Crime,27900000.0,Menace II Society
Adventure,20915465.0,Super Mario Bros.
Comedy,20915465.0,Super Mario Bros.
Family,20915465.0,Super Mario Bros.
Fantasy,20915465.0,Super Mario Bros.
Fantasy,13670688.0,The Pagemaster
Science Fiction,13670688.0,The Pagemaster
Family,13670688.0,The Pagemaster
Animation,13670688.0,The Pagemaster
Animation,504050219.0,Aladdin
Family,504050219.0,Aladdin
Comedy,504050219.0,Aladdin
Adventure,504050219.0,Aladdin
Fantasy,504050219.0,Aladdin
Romance,504050219.0,Aladdin
Romance,377350553.0,Beauty and the Beast
Family,377350553.0,Beauty and the Beast
Animation,377350553.0,Beauty and the Beast
Fantasy,377350553.0,Beauty and the Beast
Music,377350553.0,Beauty and the Beast
Animation,84300000.0,Pinocchio
Family,84300000.0,Pinocchio
Horror,16675000.0,Hellraiser: Bloodline
Thriller,16675000.0,Hellraiser: Bloodline
Science Fiction,16675000.0,Hellraiser: Bloodline
Drama,100138851.0,The Hunchback of Notre Dame
Animation,100138851.0,The Hunchback of Notre Dame
Family,100138851.0,The Hunchback of Notre Dame
Comedy,25023434.0,Kingpin
Crime,7011317.0,Bound
Drama,7011317.0,Bound
Romance,7011317.0,Bound
Thriller,7011317.0,Bound
Fantasy,49627779.0,The Island of Dr. Moreau
Horror,49627779.0,The Island of Dr. Moreau
Science Fiction,49627779.0,The Island of Dr. Moreau
Comedy,7200000.0,Singin' in the Rain
Music,7200000.0,Singin' in the Rain
Romance,7200000.0,Singin' in the Rain
Action,3981000.0,The Adventures of Robin Hood
Adventure,3981000.0,The Adventures of Robin Hood
Romance,3981000.0,The Adventures of Robin Hood
Family,263591415.0,Cinderella
Fantasy,263591415.0,Cinderella
Animation,263591415.0,Cinderella
Romance,263591415.0,Cinderella
Animation,1600000.0,Dumbo
Family,1600000.0,Dumbo
Animation,572000000.0,Alice in Wonderland
Adventure,572000000.0,Alice in Wonderland
Family,572000000.0,Alice in Wonderland
Fantasy,572000000.0,Alice in Wonderland
Adventure,29800000.0,The Fox and the Hound
Animation,29800000.0,The Fox and the Hound
Drama,29800000.0,The Fox and the Hound
Family,29800000.0,The Fox and the Hound
Adventure,5028948.0,Monty Python and the Holy Grail
Comedy,5028948.0,Monty Python and the Holy Grail
Fantasy,5028948.0,Monty Python and the Holy Grail
Animation,83320000.0,Fantasia
Family,83320000.0,Fantasia
Music,83320000.0,Fantasia
Comedy,29180280.0,Raising Arizona
Crime,29180280.0,Raising Arizona
Action,17979739.0,Turbo: A Power Rangers Movie
Adventure,17979739.0,Turbo: A Power Rangers Movie
Family,17979739.0,Turbo: A Power Rangers Movie
Fantasy,17979739.0,Turbo: A Power Rangers Movie
Science Fiction,17979739.0,Turbo: A Power Rangers Movie
Thriller,17979739.0,Turbo: A Power Rangers Movie
Animation,252712101.0,Hercules
Family,252712101.0,Hercules
Fantasy,252712101.0,Hercules
Adventure,252712101.0,Hercules
Comedy,252712101.0,Hercules
Romance,252712101.0,Hercules
Animation,139804348.0,Anastasia
Family,139804348.0,Anastasia
Comedy,45779.0,"An Alan Smithee Film: Burn, Hollywood, Burn"
Comedy,25605015.0,Can't Hardly Wait
Drama,25605015.0,Can't Hardly Wait
Romance,25605015.0,Can't Hardly Wait
Animation,304320254.0,Mulan
Family,304320254.0,Mulan
Adventure,304320254.0,Mulan
Romance,369884651.0,There's Something About Mary
Comedy,369884651.0,There's Something About Mary
Crime,43656822.0,West Side Story
Drama,43656822.0,West Side Story
Music,43656822.0,West Side Story
Action,84563118.0,The Poseidon Adventure
